334522;Alone in Berlin;Vincent Perez;2016. 02. 15;6,691;en
205588;Our Kind of Traitor;Susanna White;2016. 05. 05;6;en
355008;Special Correspondents;Ricky Gervais;2016. 04. 22;5,758;en
393003;Wildflower;Nicholas DiBella;2016. 02. 05;5,667;en
378200;The Perfect Match;Bille Woodruff;2016. 03. 11;5,492;en
279641;Whiskey Tango Foxtrot;Glenn Ficarra, John Requa;2016. 03. 04;6,301;en
400605;Dead Rising: Endgame;Pat Williams;2016. 06. 20;5,164;en
405882;Don't Kill It;Mike Mendez;2016. 08. 27;6;en
421632;I'll Be Home for Christmas;James Brolin;2016. 11. 27;6;en
403052;Mower Minions;Glenn McCoy, Bruno Chauffard;2016. 07. 08;6,634;en
385320;Zoombies;Glenn Miller;2016. 04. 29;5;en
419546;HyperNormalisation;Adam Curtis;2016. 10. 25;7,436;en
368942;A Quiet Passion;Terence Davies;2016. 10. 07;6,067;en
340487;Certain Women;Kelly Reichardt;2016. 09. 25;6;en
421758;Journey Back to Christmas;Mel Damski;2016. 11. 27;6,44;en
365995;Inside;Miguel Ángel Vivas;2016. 02. 14;5;en
333663;War on Everyone;John Michael McDonagh;2016. 10. 07;5,779;en
318121;The Fundamentals of Caring;Rob Burnett;2016. 06. 16;7,296;en
344041;Standoff;Adam Alleca;2016. 02. 26;6,043;en
284564;31;Rob Zombie;2016. 09. 15;5,442;en
492621;The Midnight Man;Travis Zariwny;2016. 09. 30;5,812;en
298583;All Roads Lead to Rome;Ella Lemhagen;2016. 01. 14;5;en
323694;Nina Forever;Ben Blaine, Chris Blaine;2016. 01. 19;5,223;en
337154;The Meddler;Lorene Scafaria;2016. 04. 05;6;en
393765;Priceless;Ben Smallbone;2016. 10. 14;7;en
393834;Goldstone;Ivan Sen;2016. 07. 07;6;en
431742;The Last Dragonslayer;Jamie Magnus Stone;2016. 12. 25;6;en
353728;Closet Monster;Stephen Dunn;2016. 07. 15;7,095;en
408508;Blue Jay;Alexandre Lehmann;2016. 10. 07;7,025;en
347751;13 Cameras;Victor Zarcoff;2016. 04. 15;5;en
274504;The Adderall Diaries;Pamela Romanowsky;2016. 04. 15;5,35;en
352492;XOXO;Christopher Louie;2016. 08. 26;6;en
401650;DC Super Hero Girls: Hero of the Year;Cecilia Aranovich;2016. 08. 09;6;en
402334;Brotherhood;Noel Clarke;2016. 09. 02;6;en
348089;Grease Live;Alex Rudzinski, Thomas Kail;2016. 01. 31;7;en
403348;Welcome to Hartmanns;Simon Verhoeven;2016. 11. 03;6,352;de
408272;Catfight;Onur Tukel;2016. 09. 09;5,515;en
393569;Text for You;Karoline Herfurth;2016. 09. 15;6,731;de
399894;Daylight's End;William Kaufman;2016. 04. 16;5,856;en
333386;The Duel;Kieran Darcy-Smith;2016. 06. 24;5,372;en
373889;The Most Beautiful Day;Florian David Fitz;2016. 02. 25;7;de
373072;Tickled;David Farrier, Dylan Reeve;2016. 05. 26;7,158;en
400608;Bo Burnham: Make Happy;Bo Burnham, Christopher Storer;2016. 06. 03;8,044;en
397514;The Windmill Massacre;Nick Jongerius;2016. 08. 29;5;en
330982;The Childhood of a Leader;Brady Corbet;2016. 07. 22;6,223;en
388862;Countdown;John Stockwell;2016. 04. 05;5,011;en
320413;The Greasy Strangler;Jim Hosking;2016. 06. 03;5,678;en
403570;Red Dog: True Blue;Kriv Stenders;2016. 12. 26;6,467;en
332721;Dad's Army;Oliver Parker;2016. 02. 05;5;en
391626;The Offering;Kelvin Tong;2016. 05. 06;5,258;en
356334;Gridlocked;Allan Ungar;2016. 06. 14;5,92;en
379990;Anything for Love;Terry Ingram;2016. 02. 14;6;en
340611;Indignation;James Schamus;2016. 07. 29;6,354;en
391975;2 Lava 2 Lantula!;Nick Simon;2016. 08. 06;5;en
351242;The Intervention;Clea DuVall;2016. 08. 26;5,863;en
401689;Mythica: The Godslayer;John Lyde;2016. 12. 17;6;en
326094;Wiener-Dog;Todd Solondz;2016. 06. 24;5,637;en
350160;Schweinskopf al dente;Ed Herzog;2016. 08. 11;7;de
371445;As You Are;Miles Joris-Peyrafitte;2016. 12. 08;7;en
406449;Hatred;Wojciech Smarzowski;2016. 10. 07;7,33;pl
422153;Hulk: Where Monsters Dwell;Mitch Schauer;2016. 10. 21;6,555;en
381028;Tower;Keith Maitland;2016. 03. 13;7,616;en
373451;Michael Jackson's Journey from Motown to Off the Wall;Spike Lee;2016. 02. 06;7;en
371738;Looking: The Movie;Andrew Haigh;2016. 07. 24;7,146;en
339792;David Brent: Life on the Road;Ricky Gervais;2016. 08. 19;6,108;en
378674;DC Films Presents Dawn of the Justice League;Eric Matthies;2016. 01. 19;6;en
392476;Vampire Sisters 3: Journey to Transylvania;Tim Trachte;2016. 12. 08;6,616;de
373473;Little Men;Ira Sachs;2016. 08. 05;6,579;en
365997;A Beautiful Planet;Toni Myers;2016. 04. 16;7;en
377428;All Things Valentine;Gary Harvey;2016. 01. 31;5,878;en
398265;Traded;Timothy Woodward Jr.;2016. 06. 10;5;en
366568;Four Against the Bank;Wolfgang Petersen;2016. 12. 25;6;de
371449;Other People;Chris Kelly;2016. 09. 09;6,339;en
504762;The Rise and Fall of El Chapo;Angus Macqueen;2016. 07. 24;7;en
279096;Lazer Team;Matt Hullum;2016. 01. 27;5,507;en
427451;Banking on Bitcoin;Christopher Cannucciari;2016. 12. 30;6,316;en
400547;Hurricane Bianca;Matt Kugelman;2016. 06. 03;6;en
422874;Money;Martín Rosete;2016. 04. 06;5,372;en
291413;Within;Phil Claydon;2016. 10. 18;5,455;en
427045;A December Bride;David Winning;2016. 11. 20;7,045;en
371741;Ali and Nino;Asif Kapadia;2016. 01. 27;6,649;en
506822;Double D Dude Ranch;Jamie Grefe;2016. 07. 20;5,083;en
359871;My Scientology Movie;John Dower;2016. 05. 05;6,597;en
404141;One More Time with Feeling;Andrew Dominik;2016. 09. 02;7,847;en
407334;My Summer Prince;Peter Sullivan;2016. 08. 06;6;en
400329;First Born;Nirpal Bhogal;2016. 06. 19;5,362;en
