azon;cím;rendezo;hozzaadas_datum;ertekeles;nyelv
47979;Vincent Wants to Sea;Ralf Huettner;2010.04.21;6,727;de
44770;The Exploding Girl;Bradley Rust Gray;2010.03.12;6,013;en
169334;Michael Jackson: The Inside Story - What Killed the King of Pop?;Sonia Anderson;2010.01.26;6;en
54793;Public Speaking;Martin Scorsese;2010.11.22;7;en
29776;6 Guns;Shane van Dyke;2010.03.30;5;en
46564;A Marine Story;Ned Farr;2010.11.05;6;en
53778;DMT: The Spirit Molecule;Mitch Schultz;2010.10.15;6,056;en
49505;Jim Jefferies: Alcoholocaust;Tim Kirkby;2010.11.08;7,238;en
70448;All About Evil;Joshua Grannell;2010.05.01;6;en
50590;Norman;Jonathan Segal;2010.06.11;6,224;en
43944;Bonded by Blood;Sacha Bennett;2010.09.02;5,167;en
74518;Territories;Olivier Abbou;2010.10.19;5,167;en
51823;Across the Line: The Exodus of Charlie Wright;R. Ellis Frazier;2010.12.28;5;en
58884;Sympathy for Delicious;Mark Ruffalo;2010.04.09;5,838;en
12445;Harry Potter and the Deathly Hallows: Part 2;David Yates;2011.07.12;8,089;en
1865;Pirates of the Caribbean: On Stranger Tides;Rob Marshall;2011.05.15;6,556;en
82023;Hotel Desire;Sergej Moya;2011.12.07;6;de
50619;The Twilight Saga: Breaking Dawn - Part 1;Bill Condon;2011.11.16;6,196;en
49013;Cars 2;John Lasseter;2011.06.11;6,136;en
1771;Captain America: The First Avenger;Joe Johnston;2011.07.22;7;en
39254;Real Steel;Shawn Levy;2011.09.28;7,046;en
44896;Rango;Gore Verbinski;2011.03.02;6,867;en
417859;Puss in Boots;Chris Miller;2011.10.27;6,569;en
56292;Mission: Impossible - Ghost Protocol;Brad Bird;2011.12.07;7,093;en
49444;Kung Fu Panda 2;Jennifer Yuh Nelson;2011.05.25;7;en
27582;The Mechanic;Simon West;2011.01.13;6,518;en
49018;Insidious;James Wan;2011.03.31;6,939;en
62835;Colombiana;Olivier Megaton;2011.07.27;6,634;en
55779;Final Destination 5;Steven Quale;2011.08.12;6,095;en
38321;Priest;Scott Stewart;2011.05.05;5,817;en
51876;Limitless;Neil Burger;2011.03.17;7,191;en
49530;In Time;Andrew Niccol;2011.10.27;6,97;en
64690;Drive;Nicolas Winding Refn;2011.09.15;7,58;en
49730;Red Riding Hood;Catherine Hardwicke;2011.03.10;6;en
51828;One Day;Lone Scherfig;2011.03.02;7,422;en
71676;Ghost Rider: Spirit of Vengeance;Brian Taylor, Mark Neveldine;2011.12.10;5,008;en
58574;Sherlock Holmes: A Game of Shadows;Guy Ritchie;2011.11.22;7,139;en
37958;Immortals;Tarsem Singh;2011.11.10;6;en
17578;The Adventures of Tintin;Steven Spielberg;2011.10.24;6,899;en
44943;Battle: Los Angeles;Jonathan Liebesman;2011.03.08;5,799;en
55721;Bridesmaids;Paul Feig;2011.05.13;6,523;en
45612;Source Code;Duncan Jones;2011.03.30;7,302;en
59440;Warrior;Gavin O'Connor;2011.09.09;7,842;en
55846;Blitz;Elliott Lester;2011.05.20;6,177;en
77887;Hawaiian Vacation;Gary Rydstrom;2011.06.16;6,961;en
49520;The Change-Up;David Dobkin;2011.08.05;6,152;en
49849;Cowboys & Aliens;Jon Favreau;2011.07.29;5,621;en
38050;The Adjustment Bureau;George Nolfi;2011.03.03;6,762;en
73454;X;Jon Hewitt;2011.11.23;6,466;en
58428;The Innkeepers;Ti West;2011.08.18;5,399;en
50321;Mars Needs Moms;Simon Wells;2011.03.09;5,949;en
48340;Sanctum;Alister Grierson;2011.02.03;6;en
49517;Tinker Tailor Soldier Spy;Tomas Alfredson;2011.09.16;6,621;en
45772;Gnomeo & Juliet;Kelly Asbury;2011.01.13;5,862;en
38317;Zookeeper;Frank Coraci;2011.07.06;5,42;en
86130;Pixie Hollow Games;Bradley Raymond;2011.12.24;7;en
57718;Megamind: The Button of Doom;Simon J. Smith;2011.02.25;6,671;en
58224;Mr. Popper's Penguins;Mark Waters;2011.06.17;6;en
59108;Tower Heist;Brett Ratner;2011.11.02;6,106;en
40805;The Green Hornet;Michel Gondry;2011.01.12;5,584;en
59861;Larry Crowne;Tom Hanks;2011.06.30;6;en
48138;Unknown;Jaume Collet-Serra;2011.02.16;6,678;en
101173;Coriolanus;Ralph Fiennes;2011.02.14;5,853;en
48171;The Rite;Mikael Håfström;2011.01.28;6,105;en
59965;Abduction;John Singleton;2011.09.22;5,86;en
47327;Drive Angry;Patrick Lussier;2011.02.24;5,533;en
50359;Hop;Tim Hill;2011.03.30;5,766;en
414419;Kill Bill: The Whole Bloody Affair;Quentin Tarantino;2011.03.27;8;en
67913;The Guard;John Michael McDonagh;2011.07.07;7;en
38684;Jane Eyre;Cary Joji Fukunaga;2011.03.11;7,212;en
55465;A Very Harold & Kumar Christmas;Todd Strauss-Schulson;2011.11.04;6;en
70435;Haywire;Steven Soderbergh;2011.11.01;5,701;en
62215;Melancholia;Lars von Trier;2011.05.26;7,171;en
62206;30 Minutes or Less;Ruben Fleischer;2011.08.11;5,782;en
38356;Transformers: Dark of the Moon;Michael Bay;2011.06.28;6,209;en
8967;The Tree of Life;Terrence Malick;2011.05.17;6,737;en
64685;Extremely Loud & Incredibly Close;Stephen Daldry;2011.12.25;6,975;en
69668;Dream House;Jim Sheridan;2011.09.29;6,182;en
79113;A Princess for Christmas;Michael Damian;2011.12.03;7,044;en
50837;Martha Marcy May Marlene;Sean Durkin;2011.10.21;6,616;en
40807;50/50;Jonathan Levine;2011.09.30;7,169;en
76535;Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer;Leythum;2011.10.25;6,827;en
77949;The Awakening;Nick Murphy;2011.08.17;6,372;en
69735;Batman: Year One;Lauren Montgomery, Sam Liu;2011.09.27;7,248;en
64720;Take Shelter;Jeff Nichols;2011.09.30;7;en
65291;Green Lantern: Emerald Knights;Jay Oliva, Lauren Montgomery, Christopher Berkeley;2011.04.09;6,64;en
74998;Seeking Justice;Roger Donaldson;2011.09.02;5,912;en
64639;Straw Dogs;Rod Lurie;2011.09.16;5,923;en
43959;Soul Surfer;Sean McNamara;2011.04.08;7;en
65599;The Woman;Lucky McKee;2011.10.14;6,038;en
60405;Sharpay's Fabulous Adventure;Michael Lembeck;2011.04.19;6;en
74523;Born to Race;Alex Ranarivelo;2011.03.19;6,888;en
74725;Kill List;Ben Wheatley;2011.09.02;6,201;en
73936;Retreat;Carl Tibbetts;2011.10.14;5,604;en
145316;Air Mater;Rob Gibbs;2011.08.04;6,051;en
81250;Geek Charming;Jeffrey Hornaday;2011.11.11;6,675;en
50725;Take Me Home Tonight;Michael Dowse;2011.03.04;5,979;en
45658;Everything Must Go;Dan Rush;2011.05.13;6,155;en
63493;The Ledge;Matthew Chapman;2011.05.06;6,133;en
