azon;cím;rendezo;hozzaadas_datum;ertekeles;nyelv
256835;Toy Story That Time Forgot;Steve Purcell;2014.12.02;6,985;en
195589;Neighbors;Nicholas Stoller;2014.05.08;6,186;en
225574;Non-Stop;Jaume Collet-Serra;2014.02.26;6,809;en
212778;Chef;Jon Favreau;2014.05.08;7,117;en
76649;Pompeii;Paul W. S. Anderson;2014.02.18;5,54;en
110416;Song of the Sea;Tomm Moore;2014.06.23;8;en
246403;Tusk;Kevin Smith;2014.09.19;5,505;en
294652;Son of a Gun;Julius Avery;2014.10.16;6,376;en
241239;A Most Violent Year;J.C. Chandor;2014.12.31;6,61;en
249164;If I Stay;R. J. Cutler;2014.08.21;7,37;en
192102;3 Days to Kill;McG;2014.02.14;6,091;en
255343;Escobar: Paradise Lost;Andrea Di Stefano;2014.10.11;6,274;en
216282;Into the Storm;Steven Quale;2014.08.06;6,053;en
249660;God's Not Dead;Harold Cronk;2014.03.21;6,007;en
284293;Still Alice;Richard Glatzer, Wash Westmoreland;2014.12.05;7,485;en
242095;The Signal;William Eubank;2014.03.15;6,013;en
188166;Blue Ruin;Jeremy Saulnier;2014.04.25;6,797;en
273895;Selma;Ava DuVernay;2014.12.25;7,394;en
244506;Camp X-Ray;Peter Sattler;2014.10.17;6,73;en
546726;Sub Rosa;Krisstian de Lara;2014.08.10;6;en
100241;I, Frankenstein;Stuart Beattie;2014.01.22;5,356;en
218778;Alexander and the Terrible, Horrible, No Good, Very Bad Day;Miguel Arteta;2014.10.08;6,191;en
250574;Creep;Patrick Brice;2014.06.23;6,374;en
284536;The Gambler;Rupert Wyatt;2014.12.25;6;en
222899;About Last Night;Steve Pink;2014.02.14;6;en
227783;The Nut Job;Peter Lepeniotis;2014.01.17;5,792;en
255718;Barbie: The Pearl Princess;Ezekiel Norton;2014.02.15;6,993;en
277355;Everly;Joe Lynch;2014.09.20;5,511;en
301959;Interstellar: Nolan's Odyssey;Dan Storey;2014.11.05;7,736;en
246080;Black Sea;Kevin Macdonald;2014.12.05;6,258;en
228970;Wild;Jean-Marc Vallée;2014.12.05;7;en
217993;Justice League: War;Jay Oliva;2014.01.21;7,406;en
278236;X+Y;Morgan Matthews;2014.03.13;6,683;en
157849;A Most Wanted Man;Anton Corbijn;2014.07.25;6,475;en
259611;Frontera;Michael Berry;2014.07.31;6,516;en
288158;The Woman in Black 2: Angel of Death;Tom Harper;2014.12.30;5,254;en
252178;'71;Yann Demange;2014.10.10;6,803;en
254375;Hector and the Search for Happiness;Peter Chelsom;2014.08.14;6,707;en
164251;Serena;Susanne Bier;2014.10.12;5,599;en
143049;Adult World;Scott Coffey;2014.02.14;6;en
244267;I Origins;Mike Cahill;2014.07.18;7,581;en
146229;Kristy;Olly Blackburn;2014.08.07;6;en
312791;GirlHouse;Trevor Matthews, Jon Knautz;2014.10.16;6;en
239562;The Single Moms Club;Tyler Perry;2014.03.14;6;en
177494;Veronica Mars;Rob Thomas;2014.03.13;6,623;en
292177;My Little Pony: Equestria Girls - Rainbow Rocks;Jayson Thiessen, Ishi Rudell;2014.09.27;8;en
244509;Cold in July;Jim Mickle;2014.05.23;6,556;en
87492;Foxcatcher;Bennett Miller;2014.11.14;6,653;en
282813;The Pyramid;Grégory Levasseur;2014.12.04;5,306;en
1381891;Henry Danger: The Danger Begins;Steve Hoefer;2014.07.26;8;en
239566;Get on Up;Tate Taylor;2014.08.01;6,763;en
283330;Eden;Mia Hansen-Løve;2014.11.19;5,733;en
250388;Rampage: Capital Punishment;Uwe Boll;2014.07.19;5,952;en
290555;Wolves;David Hayter;2014.08.28;5,902;en
187596;Walk of Shame;Steven Brill;2014.05.02;5,968;en
226448;In Your Eyes;Brin Hill;2014.04.20;7,143;en
87093;Big Eyes;Tim Burton;2014.12.24;6,982;en
232679;When the Game Stands Tall;Thomas Carter;2014.08.22;6,666;en
245916;Kill the Messenger;Michael Cuesta;2014.10.09;6,612;en
256731;Bad Country;Chris Brinker;2014.09.26;5,521;en
124470;Exists;Eduardo Sánchez;2014.03.17;5,461;en
157851;Maps to the Stars;David Cronenberg;2014.05.21;6,185;en
242076;The Bag Man;David Grovic;2014.02.28;5,308;en
209249;The Love Punch;Joel Hopkins;2014.01.13;6,018;en
242643;Batman: Assault on Arkham;Ethan Spaulding, Jay Oliva;2014.08.12;7,322;en
210947;Afflicted;Clif Prowse, Derek Lee;2014.04.04;6,426;en
253980;Marvel One-Shot: All Hail the King;Drew Pearce;2014.02.04;6,751;en
244264;Laggies;Lynn Shelton;2014.09.25;6,122;en
289727;The Rewrite;Marc Lawrence;2014.06.15;6;en
222649;Rosewater;Jon Stewart;2014.11.07;6,48;en
284995;Scooby-Doo! Frankencreepy;Paul McEvoy;2014.08.05;7,681;en
180296;They Came Together;David Wain;2014.06.27;5,593;en
251519;Son of Batman;Ethan Spaulding;2014.05.13;7,041;en
295237;The Assault;Jason Winn;2014.09.20;7;en
284689;Testament of Youth;James Kent;2014.10.14;7,272;en
254194;Starry Eyes;Dennis Widmyer, Kevin Kölsch;2014.07.29;6,043;en
157424;Cabin Fever: Patient Zero;Kaare Andrews;2014.02.05;5;en
157825;White Bird in a Blizzard;Gregg Araki;2014.08.14;6,173;en
210479;Locke;Steven Knight;2014.04.10;6,909;en
265018;Indigenous;Alastair Orr;2014.04.16;5,869;en
290999;Wyrmwood: Road of the Dead;Kiah Roache-Turner;2014.09.19;6,061;en
250535;Get Santa;Christopher Smith;2014.12.05;6;en
284537;Welcome to Me;Shira Piven;2014.09.05;5,843;en
192149;The Two Faces of January;Hossein Amini;2014.05.16;5,84;en
254191;Honeymoon;Leigh Janiak;2014.09.12;5,395;en
287233;Tom and Jerry: The Lost Dragon;Spike Brandt, Tony Cervone;2014.07.27;6;en
286192;Lava;James Ford Murphy;2014.10.10;7,263;en
253235;And So It Goes;Rob Reiner;2014.07.10;6,028;en
254193;Late Phases;Adrián García Bogliano;2014.11.21;6;en
251852;The Scribbler;John Suits;2014.09.19;5,063;en
215211;Grace of Monaco;Olivier Dahan;2014.04.22;6,012;en
286521;5 Flights Up;Richard Loncraine;2014.05.10;6,013;en
287426;Shelter;Paul Bettany;2014.09.12;6;en
302828;Against the Sun;Brian Falk;2014.11.22;7;en
251768;JLA Adventures: Trapped in Time;Giancarlo Volpe;2014.01.21;6,621;en
286875;Paper Planes;Robert Connolly;2014.08.10;6;en
253306;Housebound;Gerard Johnstone;2014.09.04;6,582;en
244517;God's Pocket;John Slattery;2014.05.09;5,836;en
273641;Jackass Presents: Bad Grandpa .5;Jeff Tremaine;2014.06.03;5,843;en
244268;Love Is Strange;Ira Sachs;2014.08.22;6,365;en
146243;Haunt;Mac Carter;2014.06.27;5,234;en
248601;Bibi & Tina;Detlev Buck;2014.03.06;6,483;de
214314;Bears;Keith Scholey, Alastair Fothergill;2014.04.17;7,354;en
270302;The Riot Club;Lone Scherfig;2014.09.19;5,917;en
268245;1000 to 1;Michael Levine;2014.03.04;5,905;en
201086;Cuban Fury;James Griffiths;2014.02.14;6,091;en
267999;White God;Kornél Mundruczó;2014.06.12;6,633;hu
209451;Jersey Boys;Clint Eastwood;2014.06.18;6,763;en
169607;Finding Vivian Maier;John Maloof, Charlie Siskel;2014.03.21;7,562;en
260339;Salting the Battlefield;David Hare;2014.03.27;6,252;en
295315;Sex Ed;Isaac Feder;2014.11.07;5,303;en
216769;Swindle;Jonathan Judge;2014.03.22;7;en
293299;Feast;Patrick Osborne;2014.10.25;7,837;en
263105;Boy Meets Girl;Eric Schaeffer;2014.06.28;6,689;en
261101;Cantinflas;Sebastián del Amo;2014.08.29;6,568;en
298504;Vampire Sisters 2: Bats in the Belly;Wolfgang Groos;2014.10.16;7;de
276908;Comet;Sam Esmail;2014.12.05;6,669;en
262481;An Honest Liar;Justin Weinstein, Tyler Measom;2014.04.18;7,106;en
177047;Decoding Annie Parker;Steven Bernstein;2014.05.02;6;en
279992;Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau;David Gregory;2014.08.24;6,657;en
254024;The Face of an Angel;Michael Winterbottom;2014.09.06;5;en
289984;Winterkartoffelknödel;Ed Herzog;2014.10.16;7;de
265010;The Canal;Ivan Kavanagh;2014.10.10;5,731;en
258152;Party Central;Kelsey Mann;2014.02.20;6,799;en
291167;Crystal Skulls;Todor Chapkanov;2014.08.12;5;en
227300;Stretch;Joe Carnahan;2014.10.14;6,178;en
193726;ABCs of Death 2;Erik Matti, Kristina Buožytė, Robert Morgan, Bill Plympton, Rodney Ascher, Lancelot Oduwa Imasuen, Vincenzo Natali, Alexandre Bustillo, Bruno Samper, Aharon Keshales, Dennison Ramalho, E.L. Katz, Jerome Sable, Jen Soska, Navot Papushado, Julian Gilbey, Julien Maury, Larry Fessenden, Sylvia Soska, Hajime Ohata, Sôichi Umezawa, Chris Nash, Todd Rohal, Julian Barratt, Alejandro Brugués, Marvin Kren, Jim Hosking, Robert Boocheck, Juan Martínez Moreno, Steven Kostanski, Wolfgang Matzl;2014.10.02;5,385;en
253639;And the Oscar Goes To...;Rob Epstein, Jeffrey Friedman;2014.02.01;6,971;en
298093;Poker Night;Greg Francis;2014.12.20;5,923;en
282728;A Fairly Odd Summer;Savage Steve Holland;2014.08.02;5,699;en
256876;Red Army;Gabe Polsky;2014.08.13;7,328;en
257093;Dark House;Victor Salva;2014.03.14;5,017;en
276902;Cut Bank;Matt Shakman;2014.10.04;5,735;en
283389;Stones for the Rampart;Robert Gliński;2014.03.07;6,848;pl
220471;The Devil's Hand;Christian E. Christiansen;2014.10.10;5,189;en
251232;Copenhagen;Mark Raso;2014.10.03;6,64;en
259453;I Am Soldier;Ronnie Thompson;2014.03.17;5;en
276488;Let Us Prey;Brian O'Malley;2014.04.17;5,742;en
249053;Famous Five 3;Mike Marzuk;2014.01.16;6,315;de
284286;Learning to Drive;Isabel Coixet;2014.08.21;6,191;en
244563;Kumiko, the Treasure Hunter;David Zellner;2014.11.13;6,581;en
133790;Clear History;Greg Mottola;2014.05.02;6,033;en
254023;The Humbling;Barry Levinson;2014.12.31;5,139;en
248212;Lilting;Hong Khaou;2014.08.07;7;en
249923;Someone Marry Barry;Rob Pearlstein;2014.02.07;5,636;en
239568;Search Party;Scot Armstrong;2014.10.30;5,382;en
290300;Peter Pan Live!;Rob Ashford, Glenn Weiss;2014.12.04;5,352;en
277688;Suburban Gothic;Richard Bates Jr.;2014.07.19;5,504;en
303623;Hello Ladies: The Movie;Stephen Merchant;2014.11.22;6,517;en
245527;Convict;David Field, George Basha;2014.01.23;6,546;en
299221;Phantom Halo;Antonia Bogdanovich;2014.10.24;6;en
319389;Lovesick;Luke Matheny;2014.04.24;5;en
274820;4 Minute Mile;Charles-Olivier Michaud;2014.06.05;6,006;en
259963;Boulevard;Dito Montiel;2014.04.20;5,733;en
197583;50 to 1;Jim Wilson;2014.03.21;6,568;en
379779;The Present;Jacob Frey;2014.04.22;7,573;en
293205;Recipe for Love;Ron Oliver;2014.10.11;5,909;en
266084;Queen & Country;John Boorman;2014.09.14;6;en
250658;The Internet's Own Boy: The Story of Aaron Swartz;Brian Knappenberger;2014.06.27;7,892;en
294368;An Open Secret;Amy J. Berg;2014.11.14;6,919;en
282268;Monty Python Live (Mostly);Eric Idle, Aubrey Powell;2014.07.20;7,007;en
264170;Batman: Strange Days;Bruce Timm;2014.04.09;7;en
263614;Virunga;Orlando von Einsiedel;2014.11.07;7,906;en
290382;Roger Waters: The Wall;Sean Evans, Roger Waters;2014.09.29;8;en
276496;The Dark Horse;James Napier Robertson;2014.07.17;6,246;en
208869;Plastic;Julian Gilbey;2014.04.30;6;en
292821;Thomas & Friends: Tale of the Brave: The Movie;Rob Silvestri;2014.09.01;6,531;en
281869;The Bunnyman Massacre;Carl Lindbergh;2014.04.18;6;en
254065;The Gabby Douglas Story;Gregg Champion;2014.02.01;7,423;en
308571;Bill Burr: I'm Sorry You Feel That Way;Jaime Eliezer Karas;2014.12.05;7,645;en
269246;Batman Beyond;Darwyn Cooke;2014.04.19;6,955;en
295799;Iris;Albert Maysles;2014.10.09;7,352;en
299579;Northpole;Douglas Barr;2014.11.15;6;en
289333;Jim Jefferies: Bare;Shannon Hartman;2014.08.29;7,479;en
254323;Jack;Edward Berger;2014.10.09;7;de
281524;The Hooligan Factory;Nick Nevern;2014.06.13;5,481;en
285843;October Gale;Ruba Nadda;2014.09.11;5;en
276922;Come Back to Me;Paul Leyden;2014.07.25;5,712;en
295144;Marvellous;Julian Farino;2014.09.25;7,145;en
174337;The Pretty One;Jenée LaMarque;2014.02.07;6,106;en
216015;Fifty Shades of Grey;Sam Taylor-Johnson;2015.02.11;5,879;en
135397;Jurassic World;Colin Trevorrow;2015.06.06;6,693;en
150540;Inside Out;Pete Docter;2015.06.17;7,911;en
99861;Avengers: Age of Ultron;Joss Whedon;2015.04.22;7,272;en
168259;Furious 7;James Wan;2015.04.01;7,229;en
140607;Star Wars: The Force Awakens;J.J. Abrams;2015.12.15;7,264;en
273481;Sicario;Denis Villeneuve;2015.09.17;7,412;en
254128;San Andreas;Brad Peyton;2015.05.27;6,245;en
281957;The Revenant;Alejandro González Iñárritu;2015.12.25;7,532;en
177677;Mission: Impossible - Rogue Nation;Christopher McQuarrie;2015.07.23;7,207;en
262500;Insurgent;Robert Schwentke;2015.03.18;6,363;en
198184;Chappie;Neill Blomkamp;2015.03.04;6,786;en
293863;The Age of Adaline;Lee Toland Krieger;2015.04.16;7,481;en
312221;Creed;Ryan Coogler;2015.11.25;7,408;en
131634;The Hunger Games: Mockingjay - Part 2;Francis Lawrence;2015.11.18;6,897;en
286217;The Martian;Ridley Scott;2015.09.30;7,688;en
158852;Tomorrowland;Brad Bird;2015.05.19;6,278;en
206647;Spectre;Sam Mendes;2015.10.26;6,555;en
325358;Superfast!;Jason Friedberg, Aaron Seltzer;2015.03.05;5;en
263472;Knock Knock;Eli Roth;2015.06.26;5,385;en
298312;The Visit;M. Night Shyamalan;2015.09.10;6,315;en
274854;The Last Witch Hunter;Breck Eisner;2015.10.21;5,977;en
205775;In the Heart of the Sea;Ron Howard;2015.12.03;6,76;en
266294;Sisters;Jason Moore;2015.12.18;6;en
238713;Spy;Paul Feig;2015.05.06;6,83;en
338676;Extinction;Miguel Ángel Vivas;2015.08.07;6,227;en
254320;The Lobster;Yorgos Lanthimos;2015.10.15;7,044;en
258509;Alvin and the Chipmunks: The Road Chip;Walt Becker;2015.12.17;6;en
211672;Minions;Kyle Balda, Pierre Coffin;2015.06.17;6,41;en
257088;Point Break;Ericson Core;2015.12.03;6;en
309809;The Little Prince;Mark Osborne;2015.07.29;7,61;en
238615;Self/less;Tarsem Singh;2015.07.10;6,417;en
271718;Trainwreck;Judd Apatow;2015.07.17;5,804;en
314365;Spotlight;Tom McCarthy;2015.11.06;7,815;en
296098;Bridge of Spies;Steven Spielberg;2015.10.15;7,235;en
294963;Bone Tomahawk;S. Craig Zahler;2015.10.23;6,865;en
188222;Entourage;Doug Ellin;2015.06.03;6,233;en
228973;Backcountry;Adam MacDonald;2015.03.20;5,946;en
256961;Paul Blart: Mall Cop 2;Andy Fickman;2015.04.16;5,165;en
297556;Justice League: Throne of Atlantis;Ethan Spaulding;2015.01.13;6,992;en
256591;Focus;Glenn Ficarra, John Requa;2015.02.25;6,874;en
334074;Survivor;James McTeigue;2015.05.21;5,668;en
287903;Krampus;Michael Dougherty;2015.11.26;6,197;en
306819;The Danish Girl;Tom Hooper;2015.11.27;7,571;en
317744;Careful What You Wish For;Elizabeth Allen Rosenbaum;2015.05.06;6,121;en
210860;Mortdecai;David Koepp;2015.01.21;5,512;en
339527;Solace;Afonso Poyart;2015.09.03;6,414;en
285783;The Walk;Robert Zemeckis;2015.09.30;6,991;en
287284;Swung;Colin Kennedy;2015.06.19;5,591;en
257091;Get Hard;Etan Cohen;2015.03.26;6;en
301351;We Are Your Friends;Max Joseph;2015.08.26;6,775;en
264644;Room;Lenny Abrahamson;2015.10.16;8;en
250734;Far from the Madding Crowd;Thomas Vinterberg;2015.04.23;7,034;en
336560;Lake Placid vs. Anaconda;A.B. Stone;2015.04.25;5;en
298382;The Dressmaker;Jocelyn Moorhouse;2015.10.29;7;en
274479;Joy;David O. Russell;2015.12.24;6,544;en
328425;The Gift;Joel Edgerton;2015.07.31;6,689;en
325348;Hardcore Henry;Ilya Naishuller;2015.09.12;6,392;en
263109;Shaun the Sheep Movie;Mark Burton, Richard Starzak;2015.02.05;6,963;en
335866;Circle;Aaron Hann, Mario Miscione;2015.05.28;6;en
382517;Open Season: Scared Silly;David Feiss;2015.12.18;5,939;en
290764;Tracers;Daniel Benmayor;2015.01.15;6;en
302429;Strange Magic;Gary Rydstrom;2015.01.23;7,091;en
333352;Eye in the Sky;Gavin Hood;2015.09.07;7;en
351964;The Escort;Will Slocombe;2015.11.05;6;en
222936;Aloha;Cameron Crowe;2015.05.29;5,512;en
266647;Pan;Joe Wright;2015.09.24;6;en
254302;High-Rise;Ben Wheatley;2015.11.22;5,635;en
288036;Sleeping with Other People;Leslye Headland;2015.06.26;6,289;en
294016;Trumbo;Jay Roach;2015.10.27;7,164;en
360605;Invisible Sister;Paul Hoen;2015.12.10;6,703;en
333348;Love the Coopers;Jessie Nelson;2015.11.12;6;en
308447;The Flintstones and WWE: Stone Age SmackDown!;Tony Cervone, Spike Brandt;2015.03.17;7;en
245168;Suffragette;Sarah Gavron;2015.10.16;7,234;en
347688;Scooby-Doo! and Kiss: Rock and Roll Mystery;Spike Brandt, Tony Cervone;2015.07.09;8,017;en
284674;Air;Christian Cantamessa;2015.08.14;5;en
329289;Always Watching: A Marble Hornets Story;James Moran;2015.04.07;5;en
336050;Son of Saul;László Nemes;2015.06.11;7,144;hu
232572;A Walk in the Woods;Ken Kwapis;2015.09.02;6,094;en
283227;A Little Chaos;Alan Rickman;2015.03.26;6,31;en
309242;Mississippi Grind;Ryan Fleck, Anna Boden;2015.07.04;6;en
261392;American Ultra;Nima Nourizadeh;2015.08.19;6,088;en
300693;Truth;James Vanderbilt;2015.10.16;6,549;en
292040;Spooks: The Greater Good;Bharat Nalluri;2015.04.11;6;en
223485;Slow West;John Maclean;2015.05.15;6,697;en
252512;While We're Young;Noah Baumbach;2015.04.03;5,99;en
167810;Lost River;Ryan Gosling;2015.04.08;5,745;en
360055;Riot;John Lyde;2015.09.27;5,659;en
299551;The Atticus Institute;Chris Sparling;2015.01.05;5,798;en
349158;My Little Pony: Equestria Girls - Friendship Games;Ishi Rudell;2015.10.24;7,302;en
271714;Love & Mercy;Bill Pohlad;2015.05.29;7,088;en
366141;Cro Minion;Régis Schuller, Didier Ah-Koon;2015.11.04;7,112;en
361745;Autumn Dreams;Neill Fearnley;2015.10.03;6,646;en
296523;Man Down;Dito Montiel;2015.09.12;6;en
249688;The End of the Tour;James Ponsoldt;2015.07.31;7;en
331190;Captive;Jerry Jameson;2015.09.17;5,709;en
266396;The Gunman;Pierre Morel;2015.02.16;5,74;en
268238;The Second Best Exotic Marigold Hotel;John Madden;2015.02.26;6,423;en
323373;Deathgasm;Jason Lei Howden;2015.08.28;6,308;en
253344;Some Kind of Beautiful;Tom Vaughan;2015.07.16;5,656;en
301875;Equals;Drake Doremus;2015.07.15;6,119;en
311291;45 Years;Andrew Haigh;2015.08.04;6,602;en
322456;LEGO DC Comics Super Heroes: Justice League vs. Bizarro League;Brandon Vietti;2015.02.10;6,252;en
308639;Dope;Rick Famuyiwa;2015.06.19;7,066;en
253626;Good Kill;Andrew Niccol;2015.04.09;6;en
309304;Grandma;Paul Weitz;2015.06.04;6,461;en
306745;Freeheld;Peter Sollett;2015.10.02;7,226;en
326284;Pound of Flesh;Ernie Barbarash;2015.05.07;5,619;en
275601;Ricki and the Flash;Jonathan Demme;2015.07.10;5,786;en
266639;Jem and the Holograms;Jon M. Chu;2015.10.22;5,521;en
309299;Experimenter;Michael Almereyda;2015.10.16;6,498;en
359790;Blackway;Daniel Alfredson;2015.10.03;5,261;en
332340;Man Up;Ben Palmer;2015.05.29;6,589;en
330544;Bessie;Dee Rees;2015.05.16;6,408;en
360603;Crown for Christmas;Alex Zamm;2015.11.27;7;en
310121;I'll See You in My Dreams;Brett Haley;2015.05.15;6,304;en
327418;Batman Unlimited: Animal Instincts;Butch Lukic;2015.05.12;5,778;en
356486;Lumberjack Man;Josh Bear;2015.10.16;5;en
310133;Cop Car;Jon Watts;2015.07.08;5,938;en
332177;Vendetta;Jen Soska, Sylvia Soska;2015.06.12;5,374;en
228968;Kidnapping Mr. Heineken;Daniel Alfredson;2015.03.12;6;en
319075;Cobain: Montage of Heck;Brett Morgen;2015.03.23;7,673;en
361931;Ronaldo;Anthony Wonke;2015.11.09;7;en
318044;What Happened, Miss Simone?;Liz Garbus;2015.01.22;7,416;en
353595;LEGO DC Comics Super Heroes: Justice League - Attack of the Legion of Doom!;Rick Morales;2015.08.25;6,631;en
310137;Bound to Vengeance;José Manuel Cravioto;2015.06.26;5,709;en
266353;In My Dreams;Kenny Leon;2015.10.20;6,44;en
300542;Queen of Earth;Alex Ross Perry;2015.02.07;5,971;en
237756;Kill Me Three Times;Kriv Stenders;2015.04.10;5,62;en
342917;Batman Unlimited: Monster Mayhem;Butch Lukic;2015.08.18;6,267;en
301629;Addicted to Fresno;Jamie Babbit;2015.10.02;5,216;en
283698;Hungry Hearts;Saverio Costanzo;2015.01.15;6,557;en
328426;The Ark;Kenneth Glenaan;2015.03.30;5,708;en
337755;Star Wars Rebels: The Siege of Lothal;Bosco Ng, Brad Rau;2015.04.18;7,861;en
380088;Asteroid: Final Impact;Jason Bourque;2015.09.19;6,261;en
320588;Hello, My Name Is Doris;Michael Showalter;2015.11.27;6,414;en
293771;Dead Rising: Watchtower;Zach Lipovsky;2015.03.27;5,135;en
373558;Taylor Swift: The 1989 World Tour - Live;Jonas Åkerlund;2015.12.20;8,48;en
300153;Life;Anton Corbijn;2015.09.09;6;en
347548;Containment;Neil Mcenery-West;2015.07.09;6;en
339065;The True Cost;Andrew Morgan;2015.05.29;7,556;en
254905;Manglehorn;David Gordon Green;2015.06.03;5,411;en
313867;Roald Dahl's Esio Trot;Dearbhla Walsh;2015.01.02;6,729;en
372981;Marco Polo: One Hundred Eyes;Alik Sakharov;2015.12.26;7,282;en
334531;My All American;Angelo Pizzo;2015.11.13;7,054;en
306964;Tales of Halloween;Darren Lynn Bousman, Axelle Carolyn, Adam Gierasch, Andrew Kasch, Neil Marshall, Lucky McKee, Ryan Schifrin, Mike Mendez, Dave Parker, John Skipp, Paul Solet;2015.10.16;5,751;en
323674;6 Years;Hannah Fidell;2015.03.14;5,426;en
342474;Jenny's Wedding;Mary Agnes Donoghue;2015.07.31;5,671;en
271736;The Program;Stephen Frears;2015.09.16;6,367;en
367544;The Spirit of Christmas;David Jackson;2015.11.28;7;en
229182;The Harvest;John McNaughton;2015.04.10;5,985;en
342672;4th Man Out;Andrew Nackman;2015.05.26;6,874;en
328869;Meadowland;Reed Morano;2015.10.16;5,759;en
354220;The Girl in the Photographs;Nick Simon;2015.09.14;5;en
343284;Night of the Living Deb;Kyle Rankin;2015.05.30;5,274;en
360387;Blunt Force Trauma;Ken Sanzel;2015.10.05;5;en
352208;Where to Invade Next;Michael Moore;2015.12.23;7,195;en
362185;Operator;Amariah Olson, Obin Olson;2015.08.21;5;en
359151;Tanna;Martin Butler, Bentley Dean;2015.10.16;6,697;en
322518;The Intruders;Adam Massey;2015.02.24;5,426;en
300654;Wildlike;Frank Hall Green;2015.09.25;6,178;en
251516;Kung Fury;David Sandberg;2015.05.22;7,462;en
363482;Once Upon A Holiday;James Head;2015.11.25;6;en
361751;Murder, She Baked: A Plum Pudding Mystery;Kristoffer Tabori;2015.11.15;7,076;en
343934;Staten Island Summer;Rhys Thomas;2015.06.30;5,69;en
1040195;Kingsman: The Secret Service Revealed;;2015.06.08;7,542;en
318279;Meru;Jimmy Chin, Elizabeth Chai Vasarhelyi;2015.01.25;7,38;en
308024;The Overnight;Patrick Brice;2015.06.19;5,971;en
323370;The Diabolical;Alistair Legrand;2015.03.16;5,013;en
366018;A Christmas Melody;Mariah Carey;2015.12.19;6;en
371759;Doctor Who: The Husbands of River Song;Douglas Mackinnon;2015.12.25;8;en
312804;James White;Josh Mond;2015.11.13;6,571;en
332706;Bleeding Heart;Diane Bell;2015.04.16;5;en
340884;Scooby-Doo! and the Beach Beastie;Victor Cook;2015.05.05;8,449;en
369054;Christmas Land;Sam Irvin;2015.12.20;5,665;en
338913;Bill;Richard Bracewell;2015.03.27;6,815;en
366142;Competition;Julien Soret, Kyle Balda;2015.09.08;6,039;en
352733;The Scandalous Lady W;Sheree Folkson;2015.08.17;6,655;en
324325;Twinsters;Samantha Futerman, Ryan Miyamoto;2015.07.17;7,327;en
307931;The Wolfpack;Crystal Moselle;2015.06.12;6,792;en
317114;Bridal Wave;Michael M. Scott;2015.10.08;6,261;en
351065;Zoom;Pedro Morelli;2015.09.11;5,74;en
356191;Demon;Marcin Wrona;2015.10.16;5,851;pl
345637;Sanjay's Super Team;Sanjay Patel;2015.11.18;6,422;en
365451;Baby, Baby, Baby;Brian Klugman;2015.10.30;5,845;en
253406;10,000 Saints;Shari Springer Berman, Robert Pulcini;2015.08.14;6;en
339580;Real Murders: An Aurora Teagarden Mystery;Martin Wood;2015.07.26;6,833;en
324253;All Things Must Pass;Colin Hanks;2015.10.16;7,214;en
257444;The Boy;Craig William Macneill;2015.08.14;5,78;en
346641;The Nightmare;Achim Bornhak;2015.07.01;6,51;de
320367;Return;Haqi Ali;2015.01.01;6,565;en
363483;12 Gifts of Christmas;Peter Sullivan;2015.11.26;6,063;en
365961;Help, I Shrunk My Teacher;Sven Unterwaldt Jr.;2015.12.17;5,558;de
308640;Songs My Brothers Taught Me;Chloé Zhao;2015.09.09;7;en
316715;The Eichmann Show;Paul Andrew Williams;2015.01.20;6,685;en
137333;Uncanny;Matthew Leutwyler;2015.01.31;6;en
337104;Chronic;Michel Franco;2015.10.21;5,746;en
301729;Terminus;Marc Furmie;2015.01.30;5;en
315588;Dreamgirls;Anika Decker;2015.02.19;5,811;de
321594;Louis C.K.: Live at The Comedy Store;Louis C.K.;2015.01.27;7,382;en
370071;A Christmas Star;Richard Elson;2015.12.29;5;en
354924;The Dead Room;Jason Stutter;2015.10.01;5,048;en
321620;Famous Five 4;Mike Marzuk;2015.01.29;5,625;de
311181;A Novel Romance;Mark Griffiths;2015.01.10;6;en
324284;Lamb;Ross Partridge;2015.10.20;6;en
277713;Sunset Song;Terence Davies;2015.12.04;6,232;en
294132;Results;Andrew Bujalski;2015.05.29;5;en
280922;Asthma;Jake Hoffman;2015.10.23;6;en
374379;Underwater;Alejandro Sesma;2015.10.29;5;en
271110;Captain America: Civil War;Joe Russo, Anthony Russo;2016.04.27;7,444;en
293660;Deadpool;Tim Miller;2016.02.09;7,622;en
324786;Hacksaw Ridge;Mel Gibson;2016.10.07;8,195;en
259693;The Conjuring 2;James Wan;2016.06.08;7,289;en
209112;Batman v Superman: Dawn of Justice;Zack Snyder;2016.03.23;6;en
343611;Jack Reacher: Never Go Back;Edward Zwick;2016.10.19;5,994;en
335797;Sing;Garth Jennings;2016.11.23;7,112;en
47933;Independence Day: Resurgence;Roland Emmerich;2016.06.22;5,332;en
300671;13 Hours: The Secret Soldiers of Benghazi;Michael Bay;2016.01.14;7,273;en
246655;X-Men: Apocalypse;Bryan Singer;2016.05.18;6,512;en
329865;Arrival;Denis Villeneuve;2016.11.10;7,609;en
278924;Mechanic: Resurrection;Dennis Gansel;2016.08.25;6;en
68735;Warcraft;Duncan Jones;2016.05.25;6,38;en
381284;Hidden Figures;Theodore Melfi;2016.12.10;8,056;en
397243;The Autopsy of Jane Doe;André Øvredal;2016.12.21;6,808;en
